,healthCode,recordId,recordPath
0,631566d6-f082-4d57-ac91-c895ff4d6de0,7bb94abb-0220-4fe3-bc61-ca6134bc8ce3,result/feature_seg/7bb94abb-0220-4fe3-bc61-ca6134bc8ce3_7.png
1,631566d6-f082-4d57-ac91-c895ff4d6de0,68e7c7d2-96ca-42da-83b3-cb4ff3ce0ef0,result/feature_seg/68e7c7d2-96ca-42da-83b3-cb4ff3ce0ef0_8.png
2,631566d6-f082-4d57-ac91-c895ff4d6de0,196693a5-78fa-4cf0-9534-00907e1190a3,result/feature_seg/196693a5-78fa-4cf0-9534-00907e1190a3_14.png
3,631566d6-f082-4d57-ac91-c895ff4d6de0,d4bcd6ef-99e9-4bf7-9723-9d4051198afd,result/feature_seg/d4bcd6ef-99e9-4bf7-9723-9d4051198afd_1.png
4,631566d6-f082-4d57-ac91-c895ff4d6de0,3e9ff4f0-342d-45b7-af70-9e6c38e947ac,result/feature_seg/3e9ff4f0-342d-45b7-af70-9e6c38e947ac_1.png
5,631566d6-f082-4d57-ac91-c895ff4d6de0,2aafa095-868a-40df-903f-b446e8b1e24a,result/feature_seg/2aafa095-868a-40df-903f-b446e8b1e24a_6.png
6,631566d6-f082-4d57-ac91-c895ff4d6de0,074afe7d-ccdb-4387-b254-c0c4b72b7bec,result/feature_seg/074afe7d-ccdb-4387-b254-c0c4b72b7bec_13.png
7,631566d6-f082-4d57-ac91-c895ff4d6de0,2aafa095-868a-40df-903f-b446e8b1e24a,result/feature_seg/2aafa095-868a-40df-903f-b446e8b1e24a_14.png
8,631566d6-f082-4d57-ac91-c895ff4d6de0,a86bdf57-fc6d-46df-88f6-38acebb617ca,result/feature_seg/a86bdf57-fc6d-46df-88f6-38acebb617ca_4.png
9,631566d6-f082-4d57-ac91-c895ff4d6de0,a4bd9e6e-9485-4836-b145-4178b533116a,result/feature_seg/a4bd9e6e-9485-4836-b145-4178b533116a_19.png
10,631566d6-f082-4d57-ac91-c895ff4d6de0,b83a6c7b-cb4a-4f91-b067-46c1d99abcf5,result/feature_seg/b83a6c7b-cb4a-4f91-b067-46c1d99abcf5_7.png
11,631566d6-f082-4d57-ac91-c895ff4d6de0,a4bd9e6e-9485-4836-b145-4178b533116a,result/feature_seg/a4bd9e6e-9485-4836-b145-4178b533116a_1.png
12,631566d6-f082-4d57-ac91-c895ff4d6de0,e3cf201e-38b9-4408-a600-f97104ff9e0c,result/feature_seg/e3cf201e-38b9-4408-a600-f97104ff9e0c_6.png
13,631566d6-f082-4d57-ac91-c895ff4d6de0,35260cda-94b1-4972-beab-cf366298997a,result/feature_seg/35260cda-94b1-4972-beab-cf366298997a_16.png
14,631566d6-f082-4d57-ac91-c895ff4d6de0,3c9f1089-ace3-409e-9b95-2c30ea1df634,result/feature_seg/3c9f1089-ace3-409e-9b95-2c30ea1df634_4.png
15,631566d6-f082-4d57-ac91-c895ff4d6de0,765f0983-36be-428d-8e73-257d3b964e8c,result/feature_seg/765f0983-36be-428d-8e73-257d3b964e8c_19.png
16,631566d6-f082-4d57-ac91-c895ff4d6de0,bc517976-07ba-444d-8f01-d99a65811cf4,result/feature_seg/bc517976-07ba-444d-8f01-d99a65811cf4_5.png
18,631566d6-f082-4d57-ac91-c895ff4d6de0,68e7c7d2-96ca-42da-83b3-cb4ff3ce0ef0,result/feature_seg/68e7c7d2-96ca-42da-83b3-cb4ff3ce0ef0_1.png
19,631566d6-f082-4d57-ac91-c895ff4d6de0,58ce75b4-492b-4b8f-a525-cd62678b5015,result/feature_seg/58ce75b4-492b-4b8f-a525-cd62678b5015_6.png
20,631566d6-f082-4d57-ac91-c895ff4d6de0,f9e73a38-b077-4fc0-8122-ec41d7a0b2da,result/feature_seg/f9e73a38-b077-4fc0-8122-ec41d7a0b2da_8.png
21,631566d6-f082-4d57-ac91-c895ff4d6de0,5db7fa09-7380-49d2-9cde-092bb8452f40,result/feature_seg/5db7fa09-7380-49d2-9cde-092bb8452f40_17.png
22,631566d6-f082-4d57-ac91-c895ff4d6de0,c6ce4126-41f0-4122-8deb-e6b2d213bec4,result/feature_seg/c6ce4126-41f0-4122-8deb-e6b2d213bec4_10.png
23,631566d6-f082-4d57-ac91-c895ff4d6de0,2aafa095-868a-40df-903f-b446e8b1e24a,result/feature_seg/2aafa095-868a-40df-903f-b446e8b1e24a_2.png
